[122925]: 382ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:716 CSpxAudioStreamSession::AddRecognizer
[122925]: 382ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:106 CSpxHandleTable::TrackHandle p=0x0000028439C8E830
[122925]: 382ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:116 CSpxHandleTable::TrackHandle class=ISpxRecognizer, h=0x0000028439C8E830, p=0x0000028439C8E830, tot=1
[122925]: 382ms SPX_DBG_TRACE_SCOPE_EXIT:  speechapi_c_factory.cpp:269 recognizer_create_translation_recognizer_from_config
[122925]: 386ms SPX_TRACE_VERBOSE recognizer.cs:120 Constructor for 28439c8e830
[122925]: 387ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:106 CSpxHandleTable::TrackHandle p=0x0000028439C8ED78
[122925]: 387ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:116 CSpxHandleTable::TrackHandle class=ISpxNamedProperties, h=0x0000028439C8ED78, p=0x0000028439C8ED78, tot=3
[122925]: 389ms SPX_DBG_TRACE_SCOPE_ENTER:  connection.cpp:21 CSpxConnection::CSpxConnection
[122925]: 389ms SPX_DBG_TRACE_SCOPE_EXIT:  connection.cpp:21 CSpxConnection::CSpxConnection
[122925]: 389ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:95 Created 'CSpxConnection' as '604236279'
[122925]: 389ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:106 CSpxHandleTable::TrackHandle p=0x0000028439C67580
[122925]: 389ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:116 CSpxHandleTable::TrackHandle class=ISpxConnection, h=0x0000028439C67580, p=0x0000028439C67580, tot=1
[122925]: 390ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:106 CSpxHandleTable::TrackHandle p=0x0000028439C675B0
[122925]: 390ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:116 CSpxHandleTable::TrackHandle class=ISpxNamedProperties, h=0x0000028439C675B0, p=0x0000028439C675B0, tot=4
[240928]: 416ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x0000028439C8ED78; name='SPEECH-RecoMode'; value=''
[240928]: 416ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxPropertyBagImpl::SetStringValue: this=0x0000028439C54198; name='SPEECH-RecoMode'; value='CONVERSATION'
[240928]: 416ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:1103 CSpxAudioStreamSession::StartRecognitionAsync
[240928]: 416ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:106 CSpxHandleTable::TrackHandle p=0x00000284213A9780
[240928]: 416ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:116 CSpxHandleTable::TrackHandle class=CSpxAsyncOp<void>, h=0x00000284213A9780, p=0x00000284213A9780, tot=1
[80702]: 416ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1106 *** CSpxAudioStreamSession::StartRecognitionAsync kicked-off THREAD started ***
[464224]: 416ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1163 CSpxAudioStreamSession::StartRecognizing
[464224]: 416ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1164 [0000028439C540B0]CSpxAudioStreamSession::StartRecognizing
[464224]: 416ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3425 [0000028439C540B0]CSpxAudioStreamSession::TryChangeState: recoKind/sessionState: 0/0 => 4/1
[464224]: 416ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1184 [0000028439C540B0]CSpxAudioStreamSession::StartRecognizing:  Now WaitForPumpSetFormatStart ...
[464224]: 416ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:3040 CSpxAudioStreamSession::StartAudioPump
[464224]: 416ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3041 [0000028439C540B0]CSpxAudioStreamSession::StartAudioPump:  RecognitionKind 4 | m_audioPump [00000284213A3830]
[464224]: 416ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1404 [0000028439C540B0]CSpxAudioStreamSession::FireSessionStartedEvent: ...
[464224]: 416ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1415 [0000028439C540B0]CSpxAudioStreamSession::FireSessionStartedEvent: Firing SessionStarted event: SessionId: 1114a914b36d48588b55697942383f30
[121997]: 416ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1682 DispatchEvent task started...
[464224]: 416ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x0000028439C54198; name='SPEECH-MaxBufferSizeMs'; value='66000'
[464224]: 416ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x0000028439C54198; name='SPEECH-BufferSizePercentSwitchToLowRate'; value='50'
