[123660]: 477ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:716 CSpxAudioStreamSession::AddRecognizer
[123660]: 477ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:106 CSpxHandleTable::TrackHandle p=0x00000210E607D0D0
[123660]: 478ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:116 CSpxHandleTable::TrackHandle class=ISpxRecognizer, h=0x00000210E607D0D0, p=0x00000210E607D0D0, tot=1
[123660]: 478ms SPX_DBG_TRACE_SCOPE_EXIT:  speechapi_c_factory.cpp:269 recognizer_create_translation_recognizer_from_config
[123660]: 481ms SPX_TRACE_VERBOSE recognizer.cs:120 Constructor for 210e607d0d0
[123660]: 482ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:106 CSpxHandleTable::TrackHandle p=0x00000210E607D618
[123660]: 482ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:116 CSpxHandleTable::TrackHandle class=ISpxNamedProperties, h=0x00000210E607D618, p=0x00000210E607D618, tot=3
[123660]: 483ms SPX_DBG_TRACE_SCOPE_ENTER:  connection.cpp:21 CSpxConnection::CSpxConnection
[123660]: 483ms SPX_DBG_TRACE_SCOPE_EXIT:  connection.cpp:21 CSpxConnection::CSpxConnection
[123660]: 483ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:95 Created 'CSpxConnection' as '604236279'
[123660]: 483ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:106 CSpxHandleTable::TrackHandle p=0x00000210E6071570
[123660]: 483ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:116 CSpxHandleTable::TrackHandle class=ISpxConnection, h=0x00000210E6071570, p=0x00000210E6071570, tot=1
[123660]: 484ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:106 CSpxHandleTable::TrackHandle p=0x00000210E60715A0
[123660]: 484ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:116 CSpxHandleTable::TrackHandle class=ISpxNamedProperties, h=0x00000210E60715A0, p=0x00000210E60715A0, tot=4
[857259]: 569ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x00000210E607D618; name='SPEECH-RecoMode'; value=''
[857259]: 569ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxPropertyBagImpl::SetStringValue: this=0x00000210E6057A88; name='SPEECH-RecoMode'; value='CONVERSATION'
[857259]: 569ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:1103 CSpxAudioStreamSession::StartRecognitionAsync
[857259]: 569ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:106 CSpxHandleTable::TrackHandle p=0x00000210E5B1D940
[347661]: 569ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1106 *** CSpxAudioStreamSession::StartRecognitionAsync kicked-off THREAD started ***
[857259]: 569ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:116 CSpxHandleTable::TrackHandle class=CSpxAsyncOp<void>, h=0x00000210E5B1D940, p=0x00000210E5B1D940, tot=1
[970080]: 569ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1163 CSpxAudioStreamSession::StartRecognizing
[970080]: 569ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1164 [00000210E60579A0]CSpxAudioStreamSession::StartRecognizing
[970080]: 569ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3425 [00000210E60579A0]CSpxAudioStreamSession::TryChangeState: recoKind/sessionState: 0/0 => 4/1
[970080]: 569ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1184 [00000210E60579A0]CSpxAudioStreamSession::StartRecognizing:  Now WaitForPumpSetFormatStart ...
[970080]: 569ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:3040 CSpxAudioStreamSession::StartAudioPump
[970080]: 569ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3041 [00000210E60579A0]CSpxAudioStreamSession::StartAudioPump:  RecognitionKind 4 | m_audioPump [00000210E5B1E6A0]
[970080]: 569ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1404 [00000210E60579A0]CSpxAudioStreamSession::FireSessionStartedEvent: ...
[970080]: 569ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1415 [00000210E60579A0]CSpxAudioStreamSession::FireSessionStartedEvent: Firing SessionStarted event: SessionId: 431d3505d071457bbf9a26b90e664437
[970080]: 570ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x00000210E6057A88; name='SPEECH-MaxBufferSizeMs'; value='66000'
[970080]: 570ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x00000210E6057A88; name='SPEECH-BufferSizePercentSwitchToLowRate'; value='50'
[970080]: 570ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x00000210E6057A88; name='SPEECH-BufferSizePercentSwitchToHighRate'; value='9'
[970080]: 570ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:100 [00000210E6077960] Is VAD Gating = 0, Is RNNT reco engine = 0, Is conversation transcriber = 0, Is async transcriber  = 0, fastLane = 5000 msec (160000 bytes), maxDuration = 66000 msec, highDuration = 33000 msec, lowDuration = 5940 msec, lowRate = 100%, highRate = 200%
[970080]: 570ms SPX_DBG_TRACE_FUNCTION:  audio_buffer.cpp:92 PcmAudioBuffer::NewTurn
[970080]: 570ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2700 CSpxAudioStreamSession::EnsureInitRecoEngineAdapter
[970080]: 570ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:2704 CSpxAudioStreamSession::EnsureInitRecoEngineAdapter EnsureResetEngineEngineAdapterComplete
[606523]: 570ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1682 DispatchEvent task started...
[970080]: 570ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2799 CSpxAudioStreamSession::EnsureResetEngineEngineAdapterComplete
[970080]: 570ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2729 CSpxAudioStreamSession::InitRecoEngineAdapter
[970080]: 570ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:95 Created 'CSpxUspRecoEngineAdapterRetry' as '806006714'
[606523]: 570ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:95 Created 'CSpxSessionEventArgs' as '418547108'
[970080]: 570ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x00000210E6057A88; name='SPEECH-Region'; value='northeurope'
[606523]: 570ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:106 CSpxHandleTable::TrackHandle p=0x00000210E607E2F0
[970080]: 570ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxPropertyBagImpl::SetStringValue: this=0x00000210E6057A88; name='INTENT-region'; value='northeurope'
[606523]: 570ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:116 CSpxHandleTable::TrackHandle class=ISpxSessionEventArgs, h=0x00000210E607E2F0, p=0x00000210E607E2F0, tot=1
[970080]: 570ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3110 [00000210E60579A0]CSpxAudioStreamSession::StartAudioPump: Starting pump[00000210E5B1E6A0]...
[970080]: 570ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:95 Created 'CSpxBufferData' as '705421989'
[970080]: 570ms SPX_TRACE_VERBOSE:  buffer_data.cpp:114 [00000210CBBA8E90]CSpxBufferData::EnsureInitRingBuffer - Init
[970080]: 570ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:95 Created 'CSpxBlockingReadWriteRingBuffer' as '956428994'
[970080]: 570ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x00000210E6057A88; name='AudioConfig_NumberOfChannelsForCapture'; value='1'
[970080]: 570ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x00000210E6057A88; name='AudioConfig_SampleRateForCapture'; value='16000'
[970080]: 570ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x00000210E6057A88; name='AudioConfig_BitsPerSampleForCapture'; value='16'
