[119905]: 352ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:716 CSpxAudioStreamSession::AddRecognizer
[119905]: 352ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:106 CSpxHandleTable::TrackHandle p=0x000002927F955720
[119905]: 352ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:116 CSpxHandleTable::TrackHandle class=ISpxRecognizer, h=0x000002927F955720, p=0x000002927F955720, tot=1
[119905]: 352ms SPX_DBG_TRACE_SCOPE_EXIT:  speechapi_c_factory.cpp:269 recognizer_create_translation_recognizer_from_config
[119905]: 356ms SPX_TRACE_VERBOSE recognizer.cs:120 Constructor for 2927f955720
[119905]: 394ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:106 CSpxHandleTable::TrackHandle p=0x000002927F955C68
[119905]: 394ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:116 CSpxHandleTable::TrackHandle class=ISpxNamedProperties, h=0x000002927F955C68, p=0x000002927F955C68, tot=3
[119905]: 397ms SPX_DBG_TRACE_SCOPE_ENTER:  connection.cpp:21 CSpxConnection::CSpxConnection
[119905]: 397ms SPX_DBG_TRACE_SCOPE_EXIT:  connection.cpp:21 CSpxConnection::CSpxConnection
[119905]: 397ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:95 Created 'CSpxConnection' as '604236279'
[119905]: 397ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:106 CSpxHandleTable::TrackHandle p=0x000002927EE07F50
[119905]: 397ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:116 CSpxHandleTable::TrackHandle class=ISpxConnection, h=0x000002927EE07F50, p=0x000002927EE07F50, tot=1
[119905]: 397ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:106 CSpxHandleTable::TrackHandle p=0x000002927EE07F80
[119905]: 397ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:116 CSpxHandleTable::TrackHandle class=ISpxNamedProperties, h=0x000002927EE07F80, p=0x000002927EE07F80, tot=4
[941723]: 424ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x000002927F955C68; name='SPEECH-RecoMode'; value=''
[941723]: 424ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxPropertyBagImpl::SetStringValue: this=0x000002927FE7A208; name='SPEECH-RecoMode'; value='CONVERSATION'
[941723]: 424ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:1103 CSpxAudioStreamSession::StartRecognitionAsync
[941723]: 424ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:106 CSpxHandleTable::TrackHandle p=0x000002927FE8A8A0
[941723]: 424ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:116 CSpxHandleTable::TrackHandle class=CSpxAsyncOp<void>, h=0x000002927FE8A8A0, p=0x000002927FE8A8A0, tot=1
[664323]: 424ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1106 *** CSpxAudioStreamSession::StartRecognitionAsync kicked-off THREAD started ***
[174873]: 424ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1163 CSpxAudioStreamSession::StartRecognizing
[174873]: 424ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1164 [000002927FE7A120]CSpxAudioStreamSession::StartRecognizing
[174873]: 424ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3425 [000002927FE7A120]CSpxAudioStreamSession::TryChangeState: recoKind/sessionState: 0/0 => 4/1
[174873]: 424ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1184 [000002927FE7A120]CSpxAudioStreamSession::StartRecognizing:  Now WaitForPumpSetFormatStart ...
[174873]: 424ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:3040 CSpxAudioStreamSession::StartAudioPump
[174873]: 424ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3041 [000002927FE7A120]CSpxAudioStreamSession::StartAudioPump:  RecognitionKind 4 | m_audioPump [000002927FE7B670]
[174873]: 424ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1404 [000002927FE7A120]CSpxAudioStreamSession::FireSessionStartedEvent: ...
[174873]: 424ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1415 [000002927FE7A120]CSpxAudioStreamSession::FireSessionStartedEvent: Firing SessionStarted event: SessionId: 0c750ffe679d4dc5a217142bb17bbb15
[696510]: 424ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1682 DispatchEvent task started...
[174873]: 424ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:451 ISpxNamedProperties::GetStringValue: this=0x000002927FE7A208; name='SPEECH-MaxBufferSizeMs'; value='66000'
[696510]: 424ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:95 Created 'CSpxSessionEventArgs' as '418547108'
